TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz
131,1,NonStim,0,1,414.743166666667,415.7182,NaN,0.974999999999966,1000.00000002365,3,-0.3636,-1,1,15,12,3,3.07692307692318
132,1,NonStim,0,1,418.2029,419.170833333333,NaN,0.968000000000018,1000.00000002365,2,0.0909,1,1,13,11,1,1.03305785123965
133,1,NonStim,0,1,421.511433333333,422.489066666667,NaN,0.977999999999952,1000.00000002365,3,-0.6363,-1,1,12,11,4,4.08997955010245
134,1,NonStim,0,1,425.036466666667,426.024033333333,NaN,0.988,1000.00000002365,1,-1,-1,1,21,6,3,3.03643724696356
135,1,NonStim,0,1,428.3532,429.3193,NaN,0.966000000000008,1000.00000002365,2,1,1,1,16,9,3,3.10559006211178
136,1,NonStim,0,1,431.587066666667,432.561066666667,NaN,0.973999999999933,1000.00000002365,2,-1,-1,0,14,8,1,1.02669404517461
137,1,Stim,1,1,434.771733333333,435.753833333333,-0.0557999999999765,0.981999999999971,1000.00000002365,2,0.1818,1,0,13,10,1,1.01832993890023
138,1,NonStim,0,1,438.121866666667,439.095333333333,NaN,0.97399999999999,1000.00000002365,2,0.6363,1,1,15,13,4,4.1067761806982
139,1,Stim,1,1,441.3726,442.3314,-0.0622999999999934,0.959000000000003,1000.00000002365,2,0.4545,1,0,16,9,4,4.17101147028153
142,1,Stim,1,1,448.8156,449.772333333333,-0.0686000000000035,0.956999999999994,1000.00000002365,3,0.4545,1,1,17,12,3,3.13479623824453
143,1,NonStim,0,1,451.949133333333,452.932866666667,NaN,0.983000000000004,1000.00000002365,3,-0.1818,-1,1,15,13,2,2.03458799593082
144,1,NonStim,0,1,455.316933333333,456.283666666667,NaN,0.966999999999985,1000.00000002365,4,-0.6363,-1,0,14,4,3,3.10237849017585
146,1,Stim,1,1,461.533833333333,462.502366666667,-0.0570000000000164,0.968999999999994,1000.00000002365,3,-1,-1,1,14,8,1,1.03199174406605
147,1,NonStim,0,1,464.959266666667,465.917833333333,NaN,0.95799999999997,1000.00000002365,2,0.3636,1,0,17,10,2,2.08768267223389
148,1,Stim,1,1,468.126633333333,469.092333333333,-0.0579333333333238,0.965999999999951,1000.00000002365,2,-0.1818,-1,0,18,11,2,2.07039337474131
150,1,Stim,1,1,474.527566666667,475.521933333333,-0.0622333333333245,0.993999999999971,1000.00000002365,1,0.6363,1,1,15,6,2,2.0120724346077
151,1,NonStim,0,1,477.760666666667,478.731666666667,NaN,0.970999999999947,1000.00000002365,2,-0.3636,-1,0,19,14,4,4.11946446961918
152,1,NonStim,0,1,481.111433333333,482.077833333333,NaN,0.965999999999951,1000.00000002365,4,0.3636,1,1,12,4,3,3.10559006211196
153,1,Stim,1,1,484.303066666667,485.277733333333,-0.0595333333333201,0.97399999999999,1000.00000002365,3,-0.1818,-1,0,19,6,0,0
154,1,Stim,1,1,487.6716,488.636766666667,-0.053766666666661,0.964999999999975,1000.00000002365,4,-0.4545,-1,0,18,3,2,2.07253886010368
155,1,Stim,1,1,490.9549,491.9282,-0.0476999999999634,0.97399999999999,1000.00000002365,1,-1,-1,1,17,5,3,3.08008213552365
156,1,Stim,1,1,494.313066666667,495.289366666667,-0.0603666666666527,0.975999999999942,1000.00000002365,4,-0.6363,-1,1,12,4,2,2.04918032786897
158,1,Stim,1,1,500.464766666667,501.421366666667,-0.0670999999999822,0.956999999999994,1000.00000002365,2,-0.6363,-1,1,13,12,2,2.08986415882969
160,1,Stim,1,1,506.7315,507.707933333333,-0.0548333333333062,0.975999999999942,1000.00000002365,1,-0.6363,-1,1,16,6,3,3.07377049180346
161,1,Stim,1,1,510.0745,511.0556,-0.0523666666666145,0.980999999999995,1000.00000002365,3,0.3636,1,0,19,5,2,2.03873598369012
162,1,NonStim,0,1,513.308766666667,514.283833333333,NaN,0.975000000000023,1000.00000002365,1,-0.6363,-1,1,10,5,3,3.07692307692301
164,1,Stim,1,1,518.483166666667,519.450933333333,-0.05026666666663,0.966999999999985,1000.00000002365,1,1,1,1,14,4,0,0
165,1,NonStim,0,1,521.8502,522.816666666667,NaN,0.966000000000008,1000.00000002365,4,-1,-1,1,9,3,2,2.07039337474118
167,1,Stim,1,1,526.776833333333,527.7512,-0.0536666666666861,0.974999999999909,1000.00000002365,1,-0.1818,-1,1,17,7,3,3.07692307692336
168,1,Stim,1,1,530.135233333333,531.120066666667,-0.0551000000000386,0.985000000000014,1000.00000002365,1,-0.4545,-1,0,16,5,2,2.03045685279185
169,1,Stim,1,1,533.411166666667,534.3789,-0.0581333333333305,0.966999999999985,1000.00000002365,4,1,1,1,11,3,1,1.03412616339195
170,1,Stim,1,1,536.778433333333,537.7463,-0.0656666666666297,0.967999999999961,1000.00000002365,3,0.0909,1,0,15,10,1,1.03305785123971
172,1,Stim,1,1,543.088,544.062033333333,-0.064899999999966,0.975000000000023,1000.00000002365,2,0.3636,1,0,15,9,1,1.025641025641
173,1,NonStim,0,1,546.454733333333,547.429466666667,NaN,0.974999999999909,1000.00000002365,1,0.6363,1,1,12,7,2,2.05128205128224
174,1,Stim,1,1,549.663366666667,550.629266666667,-0.0597333333333836,0.966000000000008,1000.00000002365,3,-0.6363,-1,0,11,7,2,2.07039337474118
175,1,NonStim,0,1,553.080933333333,554.0471,NaN,0.966999999999985,1000.00000002365,3,0.4545,1,1,20,12,0,0
