TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,DetectionSource,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
51,NonStim,0,2,0.6363,NaN,5,Left,0.180399999999992,0.189400000000006,NaN,10.0000000000477,0.0199467129809421,NaN,0.0199467129809421,6.74103197250865,NaN,6.74103197250865,-0.0199467129809421,0,180,NaN,NaN
51,NonStim,0,2,0.6363,NaN,6,Left,0.196400000000011,0.219400000000007,NaN,24.0000000001146,0.0358756412391894,NaN,0.0358756412391894,9.41366719878855,NaN,9.41366719878855,0.0132978096794647,0.0333201124255571,68.2434245829834,NaN,NaN
51,NonStim,0,2,0.6363,NaN,7,Left,0.221399999999988,0.228399999999993,NaN,8.0000000000382,0.0333201124255571,NaN,0.0333201124255571,6.66402345403909,NaN,6.66402345403909,0,-0.0333201124255571,270,NaN,NaN
51,NonStim,0,2,0.6363,NaN,8,Left,0.242400000000004,0.260400000000004,NaN,19.0000000000907,0.00664890438667227,NaN,0.00664890438667227,6.6640296879039,NaN,6.6640296879039,0.00664890438667227,0,0,NaN,NaN
51,NonStim,0,2,0.6363,NaN,9,Left,0.299399999999991,0.310399999999987,NaN,12.0000000000573,0.00664890529279238,NaN,0.00664890529279238,9.41367303852622,NaN,9.41367303852622,0.00664890529279238,0,0,NaN,NaN
51,NonStim,0,2,0.6363,NaN,10,Left,0.312399999999997,0.319400000000002,NaN,8.0000000000382,0.0333201458486189,NaN,0.0333201458486189,6.6640296879039,NaN,6.6640296879039,0,-0.0333201458486189,270,NaN,NaN
51,NonStim,0,2,0.6363,NaN,11,Left,0.322399999999988,0.329399999999993,NaN,8.0000000000382,0.042632845738505,NaN,0.042632845738505,7.84472861211297,NaN,7.84472861211297,0.0265956277682992,0.0333201458486189,51.4036710617538,NaN,NaN
51,NonStim,0,2,0.6363,NaN,12,Left,0.340399999999988,0.347399999999993,NaN,8.0000000000382,0.0358756733593862,NaN,0.0358756733593862,6.6640296879039,NaN,6.6640296879039,-0.0132978125876451,-0.0333201458486189,248.243440054877,NaN,NaN
51,NonStim,0,2,0.6363,NaN,13,Left,0.360399999999998,0.368400000000008,NaN,9.00000000004297,0.0358756722814291,NaN,0.0358756722814291,8.66300768525018,NaN,8.66300768525018,0.0132978096794646,0.0333201458486189,68.243444368585,NaN,NaN
51,NonStim,0,2,0.6363,NaN,14,Left,0.370399999999989,0.37639999999999,NaN,7.00000000003342,0.0426328450414197,NaN,0.0426328450414197,7.8447282174911,NaN,7.8447282174911,0.0265956266508699,-0.0333201458486189,308.596327764536,NaN,NaN
51,NonStim,0,2,0.6363,NaN,15,Left,0.403400000000005,0.41040000000001,NaN,8.0000000000382,0.0358756736992348,NaN,0.0358756736992348,7.84472735745078,NaN,7.84472735745078,-0.0132978135045101,0.0333201458486189,111.756561305111,NaN,NaN
51,NonStim,0,2,0.6363,NaN,16,Left,0.427400000000006,0.434400000000011,NaN,8.0000000000382,0.0333201458486189,NaN,0.0333201458486189,6.6640296879039,NaN,6.6640296879039,0,-0.0333201458486189,270,NaN,NaN
51,NonStim,0,2,0.6363,NaN,17,Left,0.456400000000002,0.464400000000012,NaN,9.00000000004297,0.0297889308765884,NaN,0.0297889308765884,9.41367161180104,NaN,9.41367161180104,-0.0132978096794647,0.026656118631543,116.513011699697,NaN,NaN
51,NonStim,0,2,0.6363,NaN,18,Left,0.486400000000003,0.493400000000008,NaN,8.0000000000382,0.0484130785556723,NaN,0.0484130785556723,8.86520582736532,NaN,8.86520582736532,-0.0465423352194014,-0.0133280609078201,195.979819603123,NaN,NaN
51,NonStim,0,2,0.6363,NaN,19,Left,0.495399999999989,0.508399999999995,NaN,14.0000000000668,0.00664890713726681,NaN,0.00664890713726681,5.55335952599541,NaN,5.55335952599541,-0.00664890713726681,0,180,NaN,NaN
51,NonStim,0,2,0.6363,NaN,20,Left,0.5154,0.520399999999995,NaN,6.00000000002865,0.0333201458486189,NaN,0.0333201458486189,7.02291078236638,NaN,7.02291078236638,0,0.0333201458486189,90,NaN,NaN
51,NonStim,0,2,0.6363,NaN,21,Left,0.522400000000005,0.537399999999991,NaN,16.0000000000764,0.0339770523037948,NaN,0.0339770523037948,7.44723240241581,NaN,7.44723240241581,0.00664890696893604,-0.0333201458486189,281.284926989275,NaN,NaN
51,NonStim,0,2,0.6363,NaN,22,Left,0.549399999999991,0.571400000000011,NaN,23.0000000001098,0.0426328457385051,NaN,0.0426328457385051,9.41367488797299,NaN,9.41367488797299,0.0265956277682992,0.0333201458486189,51.4036710617538,NaN,NaN
51,NonStim,0,2,0.6363,NaN,23,Left,0.577400000000011,0.584399999999988,NaN,8.0000000000382,0.0333201458486189,NaN,0.0333201458486189,6.6640296879039,NaN,6.6640296879039,0,-0.0333201458486189,270,NaN,NaN
51,NonStim,0,2,0.6363,NaN,24,Left,0.683400000000006,0.690400000000011,NaN,8.0000000000382,0.0333201458486189,NaN,0.0333201458486189,7.02291078236638,NaN,7.02291078236638,0,0.0333201458486189,90,NaN,NaN
51,NonStim,0,2,0.6363,NaN,25,Left,0.698399999999992,0.704399999999993,NaN,7.00000000003342,0.0339770523037948,NaN,0.0339770523037948,6.75553777859047,NaN,6.75553777859047,0.00664890696893604,-0.0333201458486189,281.284926989275,NaN,NaN
51,NonStim,0,2,0.6363,NaN,26,Left,0.706400000000002,0.712400000000002,NaN,7.00000000003342,0.0519780601293595,NaN,0.0519780601293595,11.0905913372251,NaN,11.0905913372251,-0.0398934407570728,0.0333201458486189,140.130399564064,NaN,NaN
51,NonStim,0,2,0.6363,NaN,27,Left,0.733399999999989,0.740399999999994,NaN,8.0000000000382,0.0426328179362116,NaN,0.0426328179362116,9.41366853949068,NaN,9.41366853949068,-0.0265956250750081,0.0333201124255571,128.596354130761,NaN,NaN
51,NonStim,0,2,0.6363,NaN,28,Left,0.745399999999989,0.760400000000004,NaN,16.0000000000764,0,NaN,0,8.00357210245542,NaN,8.00357210245542,0,0,0,NaN,NaN
51,NonStim,0,2,0.6363,NaN,29,Left,0.766400000000004,0.773400000000009,NaN,8.0000000000382,0.0426328163990486,NaN,0.0426328163990486,8.00357313603373,NaN,8.00357313603373,0.026595622610934,-0.0333201124255571,308.596351542579,NaN,NaN
