MIDTableRow,Monkey,ROI,Tetrode,Unit,Population,OriginalCondition2MonoLMaximum,OriginalCondition3MonoRMaximum,StoredAlignedOD,ReconstructedAlignedOD,Valid,SignMatch,DominantEye,OriginalDominantCondition,DecoderCondition2DominantMaximum,DecoderCondition3NonDominantMaximum,PostSwapDominantGreaterOrEqual
576,Jim,FST,1,3,2D,25.3307518768662,18.7508376191813,-0.14926671957405,-0.14926671957405,1,1,Left,2,25.3307518768662,18.7508376191813,1
579,Jim,FST,4,4,3D,22.9807593050252,25.1920229227831,0.0459027590995453,0.0459027590995453,1,1,Right,3,25.1920229227831,22.9807593050252,1
584,Jim,FST,6,4,3D,19.8832941935014,13.4841440396562,-0.191778287237116,-0.191778287237116,1,1,Left,2,19.8832941935014,13.4841440396562,1
599,Jim,FST,1,2,3D,28.5197148325016,27.5425178197406,-0.0174305761032127,-0.0174305761032127,1,1,Left,2,28.5197148325016,27.5425178197406,1
602,Jim,FST,3,2,3D,47.4330037036438,41.1834219133866,-0.0705239660338569,-0.0705239660338569,1,1,Left,2,47.4330037036438,41.1834219133866,1
603,Jim,FST,3,3,3D,30.1961389861551,27.745566921961,-0.0422937506893598,-0.0422937506893598,1,1,Left,2,30.1961389861551,27.745566921961,1
605,Jim,FST,5,2,2Donly,15.5973403436961,13.1836997793961,-0.0838621729436188,-0.0838621729436188,1,1,Left,2,15.5973403436961,13.1836997793961,1
606,Jim,FST,5,3,2Donly,44.2276886084613,41.7015824306315,-0.0293975050327219,-0.0293975050327219,1,1,Left,2,44.2276886084613,41.7015824306315,1
607,Jim,FST,7,2,3D,32.6185565544378,33.7679802940161,0.0173141090670572,0.0173141090670572,1,1,Right,3,33.7679802940161,32.6185565544378,1
611,Jim,FST,4,4,3D,9.81419822205517,11.2524237336705,0.0682703432300603,0.0682703432300603,1,1,Right,3,11.2524237336705,9.81419822205517,1
613,Jim,FST,6,3,3D,3.04953205677354,2.21399628641254,-0.158740623377214,-0.158740623377214,1,1,Left,2,3.04953205677354,2.21399628641254,1
614,Jim,FST,6,4,3D,37.4101183827012,31.3319711834904,-0.0884195874400667,-0.0884195874400667,1,1,Left,2,37.4101183827012,31.3319711834904,1
615,Jim,FST,7,4,3D,42.8989308440815,55.6824035699006,0.129674372961277,0.129674372961277,1,1,Right,3,55.6824035699006,42.8989308440815,1
616,Jim,FST,7,5,3D,21.9389701101353,28.1648701634771,0.124259937348968,0.124259937348968,1,1,Right,3,28.1648701634771,21.9389701101353,1
617,Jim,FST,8,4,2Donly,26.491375427689,23.1385634506306,-0.0675562382875117,-0.0675562382875117,1,1,Left,2,26.491375427689,23.1385634506306,1
618,Jim,FST,1,2,3D,26.3959805097611,27.7083262325272,0.0242558458241995,0.0242558458241995,1,1,Right,3,27.7083262325272,26.3959805097611,1
620,Jim,FST,1,4,3D,14.8277754937358,12.708287583273,-0.0769713486105609,-0.0769713486105609,1,1,Left,2,14.8277754937358,12.708287583273,1
626,Jim,FST,4,4,3D,13.0257044312831,16.4103295462422,0.114982375599351,0.114982375599351,1,1,Right,3,16.4103295462422,13.0257044312831,1
629,Jim,FST,5,4,3D,63.4682697009885,61.1845303348959,-0.0183208027852982,-0.0183208027852982,1,1,Left,2,63.4682697009885,61.1845303348959,1
634,Jim,FST,1,3,2D,18.6675718098037,17.8098239031499,-0.0235145050760607,-0.0235145050760607,1,1,Left,2,18.6675718098037,17.8098239031499,1
635,Jim,FST,1,4,3D,11.6260351495492,14.0060673297259,0.0928535683758723,0.0928535683758723,1,1,Right,3,14.0060673297259,11.6260351495492,1
641,Jim,FST,4,3,2D,7.27052607636922,3.90172145752707,-0.30153329566153,-0.30153329566153,1,1,Left,2,7.27052607636922,3.90172145752707,1
651,Jim,FST,6,3,2Donly,7.27565671735765,7.39956539439056,0.00844339363924959,0.00844339363924959,1,1,Right,3,7.39956539439056,7.27565671735765,1
661,Jim,FST,6,2,3D,24.6324717210099,25.1386608658448,0.0101703360668263,0.0101703360668263,1,1,Right,3,25.1386608658448,24.6324717210099,1
