SessionID,SessionIndex,Block,ComparatorCondition,RightEyeRate,ComparatorRate,Difference
Jim_079,79,nonStim,MonoL,0.784615384615385,0.806201550387597,-0.0215861657722123
Jim_080,80,nonStim,MonoL,0.688524590163934,0.860655737704918,-0.172131147540984
Jim_081,81,nonStim,MonoL,0.792307692307692,0.913385826771654,-0.121078134463961
Jim_082,82,nonStim,MonoL,0.783333333333333,0.727272727272727,0.056060606060606
Jim_083,83,nonStim,MonoL,0.771186440677966,0.745762711864407,0.0254237288135594
Jim_084,84,nonStim,MonoL,0.781512605042017,0.884297520661157,-0.10278491561914
Jim_085,85,nonStim,MonoL,0.764227642276423,0.768595041322314,-0.00436739904589123
Jim_086,86,nonStim,MonoL,0.6,0.78021978021978,-0.18021978021978
Jim_087,87,nonStim,MonoL,0.842592592592593,0.820754716981132,0.0218378756114604
Jim_088,88,nonStim,MonoL,0.847222222222222,0.774647887323944,0.0725743348982786
Jim_089,89,nonStim,MonoL,0.857142857142857,0.839080459770115,0.0180623973727422
Jim_090,90,nonStim,MonoL,0.809917355371901,0.855932203389831,-0.0460148480179298
Jim_091,91,nonStim,MonoL,0.808,0.8671875,-0.0591874999999999
Jim_092,92,nonStim,MonoL,0.771604938271605,0.621794871794872,0.149810066476733
Jim_093,93,nonStim,MonoL,0.849056603773585,0.759259259259259,0.0897973445143256
Jim_094,94,nonStim,MonoL,0.776595744680851,0.886363636363636,-0.109767891682785
Jim_095,95,nonStim,MonoL,0.740740740740741,0.836363636363636,-0.0956228956228956
Jim_096,96,nonStim,MonoL,0.752212389380531,0.787610619469027,-0.0353982300884956
Jim_097,97,nonStim,MonoL,0.704918032786885,0.775,-0.0700819672131148
Jim_098,98,nonStim,MonoL,0.573099415204678,0.701754385964912,-0.128654970760234
Jim_099,99,nonStim,MonoL,0.884297520661157,0.775,0.109297520661157
Jim_100,100,nonStim,MonoL,0.783132530120482,0.816568047337278,-0.0334355172167962
Jim_101,101,nonStim,MonoL,0.825,0.833333333333333,-0.00833333333333341
Jim_102,102,nonStim,MonoL,0.661654135338346,0.774436090225564,-0.112781954887218
Jim_103,103,nonStim,MonoL,0.756302521008403,0.794871794871795,-0.0385692738633915
Jim_104,104,nonStim,MonoL,0.778688524590164,0.87603305785124,-0.0973445332610757
Jim_105,105,nonStim,MonoL,0.875,0.82051282051282,0.0544871794871795
Jim_106,106,nonStim,MonoL,0.840579710144927,0.742424242424242,0.0981554677206851
Jim_107,107,nonStim,MonoL,0.791666666666667,0.8,-0.00833333333333341
Jim_108,108,nonStim,MonoL,0.745762711864407,0.826086956521739,-0.0803242446573323
Jim_109,109,nonStim,MonoL,0.772222222222222,0.755555555555556,0.0166666666666667
Jim_110,110,nonStim,MonoL,0.793103448275862,0.780141843971631,0.0129616043042309
Jim_111,111,nonStim,MonoL,0.794871794871795,0.840336134453782,-0.0454643395819867
Jim_112,112,nonStim,MonoL,0.760330578512397,0.766666666666667,-0.00633608815427
Jim_113,113,nonStim,MonoL,0.827868852459016,0.892561983471074,-0.064693131012058
Jim_114,114,nonStim,MonoL,0.815068493150685,0.849315068493151,-0.0342465753424657
Jim_115,115,nonStim,MonoL,0.576923076923077,0.823076923076923,-0.246153846153846
Jim_116,116,nonStim,MonoL,0.659863945578231,0.805555555555556,-0.145691609977324
Jim_117,117,nonStim,MonoL,0.748091603053435,0.833333333333333,-0.0852417302798982
Jim_118,118,nonStim,MonoL,0.789915966386555,0.808333333333333,-0.0184173669467788
Jim_119,119,nonStim,MonoL,0.848275862068966,0.819444444444444,0.0288314176245211
Jim_120,120,nonStim,MonoL,0.619834710743802,0.727272727272727,-0.107438016528926
Jim_121,121,nonStim,MonoL,0.821917808219178,0.775510204081633,0.0464076041375454
Jim_122,122,nonStim,MonoL,0.833333333333333,0.698324022346369,0.135009310986965
Jim_123,123,nonStim,MonoL,0.679012345679012,0.7625,-0.0834876543209876
Jim_124,124,nonStim,MonoL,0.753246753246753,0.84,-0.0867532467532467
