SessionID,SessionIndex,Block,ComparatorCondition,LeftEyeRate,ComparatorRate,Difference
Clay_093,93,nonStim,MonoR,0.860215053763441,0.875,-0.0147849462365591
Clay_094,94,nonStim,MonoR,0.701492537313433,0.887323943661972,-0.185831406348539
Clay_095,95,nonStim,MonoR,0.75,0.888888888888889,-0.138888888888889
Clay_096,96,nonStim,MonoR,0.645161290322581,0.808510638297872,-0.163349347975292
Clay_097,97,nonStim,MonoR,0.652892561983471,0.75,-0.0971074380165289
Clay_098,98,nonStim,MonoR,0.744525547445255,0.842857142857143,-0.0983315954118874
Clay_099,99,nonStim,MonoR,0.735294117647059,0.78125,-0.0459558823529411
Clay_100,100,nonStim,MonoR,0.575,0.816666666666667,-0.241666666666667
Clay_101,101,nonStim,MonoR,0.708860759493671,0.888888888888889,-0.180028129395218
Clay_102,102,nonStim,MonoR,0.785714285714286,0.797979797979798,-0.0122655122655123
Clay_103,103,nonStim,MonoR,0.821428571428571,0.866071428571429,-0.0446428571428572
Clay_001,1,nonStim,Bino,0.887931034482759,0.765217391304348,0.122713643178411
Clay_002,2,nonStim,Bino,0.735537190082645,0.791666666666667,-0.056129476584022
Clay_003,3,nonStim,Bino,0.759259259259259,0.814814814814815,-0.0555555555555555
Clay_004,4,nonStim,Bino,0.833333333333333,0.847457627118644,-0.0141242937853107
Clay_005,5,nonStim,Bino,0.863636363636364,0.839285714285714,0.0243506493506493
Clay_006,6,nonStim,Bino,0.783783783783784,0.745454545454545,0.0383292383292383
Clay_007,7,nonStim,Bino,0.678321678321678,0.6875,-0.00917832167832167
Clay_008,8,nonStim,Bino,0.779069767441861,0.662790697674419,0.116279069767442
Clay_009,9,nonStim,Bino,0.875,0.854166666666667,0.0208333333333334
Clay_010,10,nonStim,Bino,0.809090909090909,0.837837837837838,-0.0287469287469287
Clay_011,11,nonStim,Bino,0.816091954022989,0.866666666666667,-0.0505747126436782
Clay_012,12,nonStim,Bino,0.845360824742268,0.875,-0.029639175257732
Clay_013,13,nonStim,Bino,0.857142857142857,0.833333333333333,0.0238095238095237
Clay_014,14,nonStim,Bino,0.833333333333333,0.783333333333333,0.05
Clay_015,15,nonStim,Bino,0.80188679245283,0.847619047619048,-0.0457322551662174
Clay_016,16,nonStim,Bino,0.819444444444444,0.855072463768116,-0.0356280193236715
Clay_017,17,nonStim,Bino,0.848684210526316,0.841059602649007,0.00762460787730923
Clay_018,18,nonStim,Bino,0.802919708029197,0.824817518248175,-0.0218978102189781
Clay_019,19,nonStim,Bino,0.820689655172414,0.827586206896552,-0.00689655172413794
Clay_020,20,nonStim,Bino,0.788732394366197,0.804195804195804,-0.015463409829607
Clay_021,21,nonStim,Bino,0.796296296296296,0.754901960784314,0.0413943355119826
Clay_022,22,nonStim,Bino,0.8,0.808333333333333,-0.0083333333333333
Clay_023,23,nonStim,Bino,0.833333333333333,0.833333333333333,0
Clay_024,24,nonStim,Bino,0.831932773109244,0.823529411764706,0.0084033613445379
Clay_025,25,nonStim,Bino,0.807017543859649,0.872727272727273,-0.0657097288676236
Clay_026,26,nonStim,Bino,0.768518518518518,0.846846846846847,-0.0783283283283284
Clay_027,27,nonStim,Bino,0.752380952380952,0.81,-0.0576190476190477
Clay_028,28,nonStim,Bino,0.765151515151515,0.796992481203007,-0.0318409660514923
Clay_029,29,nonStim,Bino,0.817460317460317,0.771653543307087,0.0458067741532309
Clay_030,30,nonStim,Bino,0.838709677419355,0.774193548387097,0.0645161290322581
Clay_031,31,nonStim,Bino,0.735632183908046,0.747126436781609,-0.0114942528735632
Clay_032,32,nonStim,Bino,0.766666666666667,0.825,-0.0583333333333332
Clay_033,33,nonStim,Bino,0.775,0.708333333333333,0.0666666666666667
Clay_034,34,nonStim,Bino,0.823529411764706,0.823529411764706,0
Clay_035,35,nonStim,Bino,0.758333333333333,0.766666666666667,-0.00833333333333341
Clay_036,36,nonStim,Bino,0.716666666666667,0.809917355371901,-0.0932506887052341
Clay_037,37,nonStim,Bino,0.855263157894737,0.835616438356164,0.0196467195385724
Clay_038,38,nonStim,Bino,0.793388429752066,0.833333333333333,-0.0399449035812672
Clay_039,39,nonStim,Bino,0.854014598540146,0.835820895522388,0.0181937030177579
Clay_040,40,nonStim,Bino,0.790697674418605,0.811023622047244,-0.0203259476286395
Clay_041,41,nonStim,Bino,0.852459016393443,0.85,0.00245901639344259
Clay_042,42,nonStim,Bino,0.783333333333333,0.75,0.0333333333333333
Clay_043,43,nonStim,Bino,0.741071428571429,0.73394495412844,0.0071264744429882
Clay_044,44,nonStim,Bino,0.69,0.872727272727273,-0.182727272727273
Clay_045,45,nonStim,Bino,0.698924731182796,0.752688172043011,-0.053763440860215
Clay_046,46,nonStim,Bino,0.814814814814815,0.738317757009346,0.076497057805469
Clay_047,47,nonStim,Bino,0.768595041322314,0.71900826446281,0.0495867768595041
Clay_048,48,nonStim,Bino,0.8125,0.65,0.1625
Clay_049,49,nonStim,Bino,0.683333333333333,0.714285714285714,-0.030952380952381
Clay_050,50,nonStim,Bino,0.75609756097561,0.763779527559055,-0.00768196658344533
Clay_051,51,nonStim,Bino,0.845070422535211,0.917808219178082,-0.0727377966428709
Clay_052,52,nonStim,Bino,0.73134328358209,0.646616541353383,0.0847267422287061
Clay_053,53,nonStim,Bino,0.675925925925926,0.63302752293578,0.0428984029901461
Clay_054,54,nonStim,Bino,0.784810126582278,0.792207792207792,-0.00739766562551381
Clay_055,55,nonStim,Bino,0.75,0.786324786324786,-0.0363247863247863
Clay_056,56,nonStim,Bino,0.754545454545455,0.814814814814815,-0.0602693602693603
Clay_057,57,nonStim,Bino,0.570093457943925,0.647058823529412,-0.0769653655854866
Clay_058,58,nonStim,Bino,0.658333333333333,0.633333333333333,0.025
Clay_059,59,nonStim,Bino,0.808,0.793388429752066,0.0146115702479339
Clay_060,60,nonStim,Bino,0.75,0.73109243697479,0.0189075630252101
Clay_061,61,nonStim,Bino,0.781512605042017,0.766666666666667,0.0148459383753501
Clay_062,62,nonStim,Bino,0.816326530612245,0.769230769230769,0.0470957613814756
Clay_063,63,nonStim,Bino,0.833333333333333,0.802083333333333,0.03125
Clay_064,64,nonStim,Bino,0.776785714285714,0.783783783783784,-0.00699806949806947
Clay_065,65,nonStim,Bino,0.816666666666667,0.808333333333333,0.0083333333333333
Clay_066,66,nonStim,Bino,0.710280373831776,0.731481481481482,-0.0212011076497058
Clay_067,67,nonStim,Bino,0.8125,0.851851851851852,-0.0393518518518519
Clay_068,68,nonStim,Bino,0.769230769230769,0.809090909090909,-0.0398601398601398
Clay_069,69,nonStim,Bino,0.852272727272727,0.761363636363636,0.0909090909090909
Clay_070,70,nonStim,Bino,0.68,0.801980198019802,-0.121980198019802
Clay_071,71,nonStim,Bino,0.7375,0.8,-0.0625
Clay_072,72,nonStim,Bino,0.771084337349398,0.906976744186046,-0.135892406836649
Clay_073,73,nonStim,Bino,0.761061946902655,0.798245614035088,-0.0371836671324329
Clay_074,74,nonStim,Bino,0.694444444444444,0.833333333333333,-0.138888888888889
Clay_075,75,nonStim,Bino,0.690265486725664,0.771929824561403,-0.0816643378357398
Clay_076,76,nonStim,Bino,0.572916666666667,0.701030927835051,-0.128114261168385
Clay_077,77,nonStim,Bino,0.661157024793388,0.733333333333333,-0.0721763085399448
Clay_078,78,nonStim,Bino,0.761904761904762,0.771428571428571,-0.0095238095238096
Clay_079,79,nonStim,Bino,0.741071428571429,0.711711711711712,0.0293597168597169
Clay_080,80,nonStim,Bino,0.788617886178862,0.804878048780488,-0.0162601626016261
Clay_081,81,nonStim,Bino,0.782051282051282,0.851351351351351,-0.0693000693000693
Clay_082,82,nonStim,Bino,0.835616438356164,0.763888888888889,0.0717275494672756
Clay_083,83,nonStim,Bino,0.752475247524752,0.666666666666667,0.0858085808580858
Clay_084,84,nonStim,Bino,0.752808988764045,0.909090909090909,-0.156281920326864
Clay_085,85,nonStim,Bino,0.763440860215054,0.842105263157895,-0.0786644029428409
Clay_086,86,nonStim,Bino,0.775862068965517,0.808695652173913,-0.0328335832083958
